nome_completo,descricao_curta,setor,subsetor,organizacao,localizacoes,latitude,longitude,endereco_principal,custo_estimado,moeda,custo_original,status_atividade,eh_ppp,tipo_projeto,arranjo_contratual,processo_licitacao,outro_arranjo_contratual,outro_processo_licitacao,GUID
Direitos Minerários de Carvão em Candiota/RS,A Definir,Other,Other,SEPPI,Rio Grande do Sul,,,Rio Grande do Sul,193600000.0,BRL,193600000.0 BRL,Project Definition,True,New,,,,,11627d9d-fafa-4874-b565-6b1a7a1c51d8
BR-158/155/MT/PA,"O trecho rodoviário em questão constitui importante rota de escoamento da produção de grãos do nordeste de Mato Grosso, integrando a região &#224; ferrovia Carajás e permitindo a exportação da produção pelo Porto de Itaqui/MA.",Transport,Highway,SEPPI,"Mato Grosso,Pará",,,"Mato Grosso,Pará",0.0,BRL,,Project Definition,True,Refurbishment/Replacement,,,,,1244649e-5a92-4d13-b21f-cea81fc2a75f
Socioeducativo - Estado de Minas Gerais,"Projeto de estruturação de parceria público-privada para construção, implantação, operação e manutenção de 2 (duas) unidades de atendimento socioeducativo no Estado de Minas Gerais, sendo uma unidade localizada no Município de Betim e outra localizada no Município de Santana do Paraíso.",Social Infrastructure,School,SEPPI,Minas Gerais; Santana do Paraíso; Betim,"{'address': 'Betim, Minas Gerais', 'location': {'x': '-44.198692', 'y': '-19.967279'}, 'score': 100.0, 'attributes': {'ResultID': 3, 'Place_addr': 'Betim, Minas Gerais', 'City': 'Betim', 'Subregion': '', 'Region': 'Minas Gerais'}}","{'address': 'MG', 'location': {'x': '-44.673411715857', 'y': '-18.456295229477'}, 'score': 100.0, 'attributes': {'ResultID': 1, 'Place_addr': 'Minas Gerais', 'City': '', 'Subregion': '', 'Region': 'Minas Gerais'}}",Minas Gerais,17453920.0,BRL,17453920.0 BRL,Project Definition,True,New,,,,,130c9dbb-4dc6-4069-857f-cf310e08b519
Ilumina&#231;&#227;o P&#250;blica - Itaperuna (RJ),A definir,Urban Services,Street Lighting,SEPPI,Itaperuna,,,Itaperuna,3349775.946,BRL,3349775.946 BRL,Project Definition,True,Refurbishment/Replacement,,,,,1342b712-b3b0-4f59-aa76-aa29f094f861
Ilumina&#231;&#227;o P&#250;blica - Cajazeiras (PB),A definir,Urban Services,Street Lighting,SEPPI,Cajazeiras,,,Cajazeiras,0.192504,BRL,0.192504 BRL,Project Definition,True,Refurbishment/Replacement,,,,,135c99df-15e3-4cc0-9c7c-0f12e005ffd0
Consórcio de Saúde do Vale do Ribeira e Litoral Sul - CONSAÚDE/SP,A Definir,Water & Waste,Solid Waste Facility,SEPPI,São Paulo,,,São Paulo,25177925.0,BRL,25177925.0 BRL,Project Definition,True,New,,,,,14f610c7-8be2-4beb-859f-72b12789ca18
Restaura&#231;&#227;o Florestal na Flona de Itaituba II/PA,"Concessão para manejo florestal sustentável de 412 mil hectares, dos quais 15.330,85 hectares degradados da floresta são destinados para restauração florestal, recuperação de seus serviços ecossistêmicos e geração de emprego e renda para a comunidade local.",Other,Other,SEPPI,Itaituba; Trairão,"{'address': 'Itaituba, Pará', 'location': {'x': '-55.9914411', 'y': '-4.2624139'}, 'score': 100.0, 'attributes': {'ResultID': 1, 'Place_addr': 'Itaituba, Pará', 'City': 'Itaituba', 'Subregion': '', 'Region': 'Pará'}}","{'address': 'Trairão, Pará', 'location': {'x': '-55.9963745', 'y': '-4.7032318'}, 'score': 100.0, 'attributes': {'ResultID': 2, 'Place_addr': 'Trairão, Pará', 'City': 'Trairão', 'Subregion': '', 'Region': 'Pará'}}",Itaituba,0.181831,BRL,0.181831 BRL,Project Definition,True,Refurbishment/Replacement,,,,,153a704a-193b-4275-be55-14e7f5dfc7f3
Iluminação Pública - Nova Friburgo (RJ),"A PPP de Iluminação Pública representa um passo importante na busca contínua das administraç&#245;es municipais por melhorias significativas na qualidade de vida dos mais de 189 mil habitantes que serão diretamente impactados pelo projeto.&#10;O projeto está sendo estruturado com recursos da CAIXA. Além disso, a estruturação também conta com o assessoramento de consultoria externa e da CAIXA, em coordenação da Secretaria Especial do Programa de Parcerias e Investimentos (SEPPI).",Urban Services,Street Lighting,SEPPI,Rio de Janeiro; Nova Friburgo,"{'address': 'Rio de Janeiro', 'location': {'x': '-43.1789159', 'y': '-22.9014475'}, 'score': 100.0, 'attributes': {'ResultID': 1, 'Place_addr': 'Rio de Janeiro', 'City': 'Rio de Janeiro', 'Subregion': '', 'Region': 'Rio de Janeiro'}}","{'address': 'Nova Friburgo, Rio de Janeiro', 'location': {'x': '-42.5345547', 'y': '-22.2891837'}, 'score': 100.0, 'attributes': {'ResultID': 2, 'Place_addr': 'Nova Friburgo, Rio de Janeiro', 'City': 'Nova Friburgo', 'Subregion': '', 'Region': 'Rio de Janeiro'}}",Rio de Janeiro,5757066.0,BRL,5757066.0 BRL,Project Definition,True,Refurbishment/Replacement,,,,,1665c3f7-da9e-414c-b03a-4230d321cde9
Iluminação Pública - Gravataí (RS),"A PPP de Iluminação Pública representa um passo importante na busca contínua das administraç&#245;es municipais por melhorias significativas na qualidade de vida dos mais de 265 mil habitantes que serão diretamente impactados pelo projeto.&#10;O projeto está sendo estruturado com recursos do Fundo de Estruturação de Projetos (FEP/CAIXA). Além disso, a estruturação também conta com o assessoramento da CAIXA e coordenação da Secretaria Especial do Programa de Parcerias e Investimentos (SEPPI).",Urban Services,Street Lighting,SEPPI,Rio Grande do Sul; Gravataí,"{'address': 'Gravataí, Rio Grande do Sul', 'location': {'x': '-50.9935619', 'y': '-29.9437643'}, 'score': 100.0, 'attributes': {'ResultID': 2, 'Place_addr': 'Gravataí, Rio Grande do Sul', 'City': 'Gravataí', 'Subregion': '', 'Region': 'Rio Grande do Sul'}}","{'address': 'RS', 'location': {'x': '-53.316139942784', 'y': '-29.738736042187'}, 'score': 100.0, 'attributes': {'ResultID': 1, 'Place_addr': 'Rio Grande do Sul', 'City': '', 'Subregion': '', 'Region': 'Rio Grande do Sul'}}",Rio Grande do Sul,6533384.0,BRL,6533384.0 BRL,Project Definition,True,Refurbishment/Replacement,,,,,171582bb-1a48-4a92-afe3-8b885af237e8
Eficientiza&#231;&#227;o Energ&#233;tica - Estado do Rio Grande do Norte,A definir,Energy,Other Energy,SEPPI,Rio Grande do Norte,,,Rio Grande do Norte,48058750.0,BRL,48058750.0 BRL,Project Definition,True,New,,,,,1756daf4-a8dc-4e19-8a4b-e982b2169e50
