2026-02-13 11:52:45,271 - ERROR - Erro 500 no projeto a70d583a-fe42-44f1-8637-1ab219889a70
2026-02-13 11:53:46,645 - ERROR - Erro 500 no projeto d71f7fad-3824-411b-9747-35cdb603747e
2026-04-02 10:11:02,400 - ERROR - Erro 500 no projeto e87345f1-cd99-4071-a2e9-74ad1eb36787
2026-04-02 10:11:06,532 - ERROR - Erro 500 no projeto ad90c00e-f42d-4417-b3ee-eba9b77c326a
2026-04-02 10:11:37,041 - ERROR - Erro de requisição para o projeto 43cd2f4b-7147-458d-be96-863ad3d35a00: HTTPSConnectionPool(host='api.sif-source.org', port=443): Read timed out. (read timeout=30)
2026-04-02 10:11:41,876 - ERROR - Erro 500 no projeto d842d6bf-2fd8-4d13-812b-055879f0c7d5

==================================================
Início da execução PROJECT INFO: 2026-04-02 10:13:01
Total de requisições: 278
Threads simultâneas: 15
2026-04-02 10:14:01 - GUID: 90f37771-7341-47d3-afa5-a9816ba34054 - FALHA
2026-04-02 10:14:01 - GUID: 7d8495bd-6f12-4ecd-bb15-eac57721af9f - FALHA
2026-04-02 10:14:03 - GUID: 453744dc-0465-4c51-b331-1d441f71c87e - FALHA
2026-04-02 10:14:03 - GUID: aa501ce6-9656-42a5-beec-a0dc75fab8d2 - SUCESSO
2026-04-02 10:14:03 - GUID: 74c02f8a-2630-4d27-901a-3f097aa9fcc8 - SUCESSO
2026-04-02 10:14:03 - GUID: a16279f3-1118-49bf-87ac-203e9d49d4fe - FALHA
2026-04-02 10:14:03 - GUID: 510de519-01fb-4129-ae7f-88e05fb446fe - SUCESSO
2026-04-02 10:14:03 - GUID: 71ba7c56-3e8e-47e8-bbf6-c5e8b7cc6b6b - SUCESSO
2026-04-02 10:14:03 - GUID: 47fe6ece-74b6-4c8b-b835-43286ef737c0 - SUCESSO
2026-04-02 10:14:03 - GUID: c9127fad-fa13-4fa9-ba43-dd41862217d6 - SUCESSO
2026-04-02 10:14:03 - GUID: b09ae85e-186a-4bf9-9fa6-1767ae6f582b - SUCESSO
2026-04-02 10:14:03 - GUID: 83410882-d8f2-4f75-a3ef-1d260041f508 - SUCESSO
